Investor Loan Number,Seller Loan Number,Servicer Loan Number,Servicer,Borrower Name,Consumer Loan Flag,Pool,Data As Of Date,UPB,Next Due Date,Days DQ,STATUS,Breach Letter Sent Date,Breach Letter Expiration Date,FC Stage,FC Stage Date,BK Stage,BK Chaper,BK Stage Date,Last Payment Date,Maturity Date,BuilderOrBrokerID,Investor
NB587448,2018003210,239023,Fay,LLC,,,06-05-2020,1500000,01-04-2020,36,30 DQ,,,,,,,,10-03-2020,01-10-2048,SSTT,NB
NB587549,2018003451,239024,Fay,STREET LLC,,,06-05-2020,1519000,01-04-2020,36,30 DQ,,,,,,,,02-03-2020,01-04-2049,SSTT,NB
NB587449,2018003458,239025,Fay,LLC,,,06-05-2020,273000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-05-2049,SSTT,NB
NB587450,2018003477,239026,Fay,ONE LLC,,,06-05-2020,1051000,01-07-2020,0,Current,,,,,,,,01-05-2020,01-01-2049,SSTT,NB
NB587451,2018003718,239027,Fay,LLC,,,06-05-2020,494000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-11-2048,SSTT,NB
NB587452,2018003780,239028,Fay,B ACQUISITIONS,,,06-05-2020,2807000,01-04-2020,36,30 DQ,,,,,,,,07-03-2020,01-05-2049,SSTT,NB
NB587270,2018003781,239029,Fay,DEVELOPMENT LLC,,,06-05-2020,598000,01-05-2020,6,1-29 DQ,,,,,,,,07-04-2020,01-02-2049,SSTT,NB
NB587453,2018003850,239030,Fay,IX LLC,,,06-05-2020,973000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-11-2048,SSTT,NB
NB587454,2018003851,239031,Fay,IX LLC,,,06-05-2020,1400000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-11-2048,SSTT,NB
NB587271,2018004118,239032,Fay,CAPITAL LLC,,,06-05-2020,526000,01-01-2020,127,120 DQ,,,,,,,,31-01-2020,01-02-2049,SSTT,NB
NB587272,2018004193,239033,Fay,REALTY NY,,,06-05-2020,845000,01-05-2020,6,1-29 DQ,,,,,,,,07-04-2020,01-01-2049,SSTT,NB
NB587273,2018004205,239034,Fay,OAK PL,,,06-05-2020,1950000,01-04-2020,36,30 DQ,,,,,,,,24-03-2020,01-02-2049,SSTT,NB
NB587362,2018004225,239035,Fay,AVE HOLDINGS,,,06-05-2020,115000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-01-2049,SSTT,NB
NB587455,2018004312,239036,Fay,REALTY LLC,,,06-05-2020,357000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-03-2049,SSTT,NB
NB587550,2018004391,239037,Fay,LLC,,,06-05-2020,241000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-06-2049,SSTT,NB
NB587456,2019004592,239038,Fay,LLC,,,06-05-2020,333000,01-05-2020,6,1-29 DQ,,,,,,,,07-04-2020,01-02-2049,SSTT,NB
NB587641,2019004604,239039,Fay,HOMES INC,,,06-05-2020,444999.99,01-06-2020,0,Current,,,,,,,,04-05-2020,01-04-2049,SSTT,NB
NB587642,2019004606,239040,Fay,INVESTMENT LLC,,,06-05-2020,543000,01-05-2020,6,1-29 DQ,,,,,,,,25-04-2020,01-08-2049,SSTT,NB
NB587363,2019004630,239041,Fay,HOLDINGS LLC,,,06-05-2020,1626000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-04-2049,SSTT,NB
NB587364,2019004761,239042,Fay,GROUP LLC,,,06-05-2020,144000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-04-2049,SSTT,NB
NB587365,2019004763,239043,Fay,LLC,,,06-05-2020,462000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-04-2049,SSTT,NB
2019004800,2019004800,239044,Fay,15TH ST,,,06-05-2020,0,01-02-2020,,Liquidated,,,,,,,,11-01-2020,01-05-2049,SSTT,NB
NB587366,2019004813,239045,Fay,LLC,,,06-05-2020,553000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-04-2049,SSTT,NB
NB587551,2019004816,239046,Fay,LLC,,,06-05-2020,634000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-04-2049,SSTT,NB
NB587457,2019004895,239047,Fay,PROPERTIES LLC,,,06-05-2020,331999.99,01-05-2020,6,1-29 DQ,,,,,,,,01-05-2020,01-05-2049,SSTT,NB
NB587367,2019004949,239048,Fay,LLC,,,06-05-2020,1365000,01-05-2020,6,1-29 DQ,,,,,,,,06-04-2020,01-05-2049,SSTT,NB
NB587552,2019004961,239049,Fay,HOLDINGS LLC,,,06-05-2020,460000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-05-2049,SSTT,NB
NB587368,2019004978,239050,Fay,LLC,,,06-05-2020,1300000,01-04-2020,36,30 DQ,,,,,,,,06-04-2020,01-05-2049,SSTT,NB
NB587369,2019005023,239051,Fay,LLC,,,06-05-2020,853000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-04-2049,SSTT,NB
NB587370,2019005110,239052,Fay,LLC,,,06-05-2020,620000,01-02-2020,96,90 DQ,,,,,,,,24-02-2020,01-05-2049,SSTT,NB
NB587643,2019005122,239053,Fay,LLC,,,06-05-2020,787000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-06-2049,SSTT,NB
NB587458,2019005352,239054,Fay,PROPERTIES LLC,,,06-05-2020,302000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-05-2049,SSTT,NB
NB587371,2019005488,239055,Fay,LLC,,,06-05-2020,1749999.99,01-06-2020,0,Current,,,,,,,,01-05-2020,01-05-2049,SSTT,NB
NB587553,2019005846,239056,Fay,DRIVE LLC,,,06-05-2020,1715000,01-05-2020,6,1-29 DQ,,,,,,,,04-04-2020,01-06-2049,SSTT,NB
NB587554,2019005847,239057,Fay,DRIVE LLC,,,06-05-2020,1592000,01-05-2020,6,1-29 DQ,,,,,,,,04-04-2020,01-06-2049,SSTT,NB
NB587555,2019005848,239058,Fay,DRIVE LLC,,,06-05-2020,1785000,01-05-2020,6,1-29 DQ,,,,,,,,04-04-2020,01-06-2049,SSTT,NB
NB587644,2019005923,239059,Fay,APARTMENTS LLC,,,06-05-2020,307000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-06-2049,SSTT,NB
NB587645,2019005969,239060,Fay,LLC,,,06-05-2020,1875000,01-05-2020,6,1-29 DQ,,,,,,,,05-05-2020,01-07-2049,SSTT,NB
NB587646,2019006342,239061,Fay,LLC,,,06-05-2020,861999.99,01-06-2020,0,Current,,,,,,,,01-05-2020,01-06-2049,SSTT,NB
NB587647,2019006349,239062,Fay,ST LLC,,,06-05-2020,2250000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-07-2049,SSTT,NB
NB587648,2019006367,239063,Fay,LLC,,,06-05-2020,266000,01-04-2020,36,30 DQ,,,,,,,,02-03-2020,01-07-2049,SSTT,NB
NB587649,2019006727,239064,Fay,AVE PARTNERS,,,06-05-2020,2100000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-07-2049,SSTT,NB
NB587764,2018003855,249413,Fay,IX LLC,,,06-05-2020,875000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-11-2048,SSTT,NB
NB587765,2019004925,249414,Fay,LLC,,,06-05-2020,1782000,01-05-2020,6,1-29 DQ,,,,,,,,08-04-2020,01-05-2049,SSTT,NB
NB587766,2019005102,249415,Fay,54TH ST,,,06-05-2020,111999.96,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-07-2049,SSTT,NB
NB587767,2019005743,249416,Fay,LLC,,,06-05-2020,328415.02,01-06-2020,0,Current,,,,,,,,05-05-2020,01-07-2049,SSTT,NB
NB581880,2019005884,249417,Fay,INVESTING LLC,,,06-05-2020,500000,01-02-2020,96,90 DQ,,,FINAL TITLE CLEAR,13-04-2020,,,,13-02-2020,01-07-2049,SSTT,NB
NB587768,2019005990,249418,Fay,LLC,,,06-05-2020,1186000,01-05-2020,6,1-29 DQ,,,,,,,,27-04-2020,01-07-2049,SSTT,NB
NB587769,2019006101,249419,Fay,LLC,,,06-05-2020,319000,01-06-2020,0,Current,,,,,,,,04-05-2020,01-07-2049,SSTT,NB
NB587770,2019006166,249420,Fay,ESTATE LLC,,,06-05-2020,557000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-07-2049,SSTT,NB
NB587771,2019006397,249421,Fay,VENTURES LLC,,,06-05-2020,900000,01-05-2020,6,1-29 DQ,,,,,,,,08-04-2020,01-07-2049,SSTT,NB
NB587772,2019006400,249422,Fay,LLC,,,06-05-2020,1750000,01-04-2020,36,30 DQ,,,,,,,,09-03-2020,01-07-2049,SSTT,NB
NB587813,2019006409,249423,Fay,LLC,,,06-05-2020,1599999.93,01-05-2020,6,1-29 DQ,,,,,,,,09-04-2020,01-07-2049,SSTT,NB
NB587814,2019006412,249424,Fay,HOLDINGS LLC,,,06-05-2020,1589999.95,01-03-2020,67,60 DQ,,,,,,,,29-02-2020,01-08-2049,SSTT,NB
NB587815,2019006448,249425,Fay,STREET LLC,,,06-05-2020,1800000,01-05-2020,6,1-29 DQ,,,,,,,,14-04-2020,01-07-2049,SSTT,NB
NB587773,2019006462,249426,Fay,LLC,,,06-05-2020,314000,01-06-2020,0,Current,,,,,,,,04-05-2020,01-07-2049,SSTT,NB
NB587816,2019006625,249427,Fay,1B LLC,,,06-05-2020,1395000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-08-2049,SSTT,NB
NB587774,2019006771,249428,Fay,LLC,,,06-05-2020,129000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-07-2049,SSTT,NB
NB587817,2019006891,249429,Fay,AVE LLC,,,06-05-2020,660000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-08-2049,SSTT,NB
NB587775,2019006921,249430,Fay,LLC,,,06-05-2020,262000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-07-2049,SSTT,NB
NB587818,2019007167,249431,Fay,HOLDINGS LLC,,,06-05-2020,843000,01-05-2020,6,1-29 DQ,,,,,,,,07-04-2020,01-08-2049,SSTT,NB
NB587819,2019007209,249432,Fay,LLC,,,06-05-2020,132000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-08-2049,SSTT,NB
NB588003,2019005374,255858,Fay,VIEW TER,,,06-05-2020,1116000,01-05-2020,6,1-29 DQ,,,,,,,,07-04-2020,01-09-2049,SSTT,NB
NB582635,2019005900,255859,Fay,AVE HOLDINGS,,,06-05-2020,1612000,01-03-2020,67,60 DQ,,,,,,,,11-04-2020,01-08-2049,SSTT,NB
NB587905,2019006209,255860,Fay,LLC,,,06-05-2020,550000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-08-2049,SSTT,NB
NB588004,2019006252,255861,Fay,LLC,,,06-05-2020,1515000,01-06-2020,0,Current,,,,,,,,06-05-2020,01-09-2049,SSTT,NB
NB587906,2019006276,255862,Fay,MANAGEMENT LLC,,,06-05-2020,138000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-08-2049,SSTT,NB
NB583438,2019006371,255863,Fay,LLC,,,06-05-2020,378000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-08-2049,SSTT,NB
NB583439,2019006395,255864,Fay,LLC,,,06-05-2020,122000,01-04-2020,36,30 DQ,,,,,,,,16-03-2020,01-09-2049,SSTT,NB
NB588005,2019006503,255865,Fay,LLC,,,06-05-2020,226999.98,01-06-2020,0,Current,,,,,,,,05-05-2020,01-08-2049,SSTT,NB
NB588006,2019006577,255866,Fay,LLC,,,06-05-2020,180000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-08-2049,SSTT,NB
NB582638,2019006598,255867,Fay,ST LLC,,,06-05-2020,592000,01-05-2020,6,1-29 DQ,,,,,,,,29-04-2020,01-08-2049,SSTT,NB
NB583648,2019006689,255868,Fay,INC,,,06-05-2020,841569.3,01-04-2020,36,30 DQ,,,,,,,,14-03-2020,01-08-2049,SSTT,NB
NB583649,2019006788,255869,Fay,MANAGEMENT LLC,,,06-05-2020,127000,01-05-2020,6,1-29 DQ,,,,,,,,07-04-2020,01-10-2049,SSTT,NB
NB583440,2019006792,255870,Fay,LLC,,,06-05-2020,483000,01-12-2019,158,150 DQ,,,PRELIMINARY TITLE CL,18-03-2020,,,,27-12-2019,01-09-2049,SSTT,NB
NB583441,2019006892,255871,Fay,AVE,,,06-05-2020,636999.97,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-09-2049,SSTT,NB
NB588007,2019006904,255872,Fay,II LLC,,,06-05-2020,270000,01-06-2020,0,Current,,,,,,,,01-05-2020,01-08-2049,SSTT,NB
NB588008,2019006922,255873,Fay,LLC,,,06-05-2020,307000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-09-2049,SSTT,NB
NB583442,2019006970,255874,Fay,MANAGEMENT LLC,,,06-05-2020,161000,01-06-2020,0,Current,,,,,,,,05-05-2020,01-09-2049,SSTT,NB
NB587907,2019007017,255875,Fay,HOLDINGS LLC,,,06-05-2020,950000,01-05-2020,6,1-29 DQ,,,,,,,,11-04-2020,01-08-2049,SSTT,NB
