Investor Loan Number,Seller Loan Number,Servicer Loan Number,Servicer
BC2016- 00298,BC2016-00298,330158238,Cohen
BC2016- 00299,BC2016-00299,330158242,Cohen
BC2017-001264,BC2017-001264,330163073,Cohen
BC2017-001503,BC2017-001503,330163074,Cohen
BC2017-001535,BC2017-001535,330163075,Cohen
BC2017-001555,BC2017-001555,330163076,Cohen
BC2017-001536,BC2017-001536,330163077,Cohen
BC2018-004074,BC2018-004074,330167453,Cohen
BC2018-003624,BC2018-003624,330167800,Cohen
BC2018-003706,BC2018-003706,330167801,Cohen
BC2018-003941,BC2018-003941,330167802,Cohen
BC2018-004051,BC2018-004051,330167803,Cohen
BC2018-003947,BC2018-003947,330167907,Cohen
BC2018-004293,BC2018-004293,330167909,Cohen
BC2018-004084,BC2018-004084,330168079,Cohen
BC2018-003742,BC2018-003742,330168087,Cohen
BC2018-004527,BC2018-004527,330168174,Cohen
BC2018-003539,BC2018-003539,330168417,Cohen
BC2018-004337,BC2018-004337,330168418,Cohen
BC2019-004677,BC2019-004677,330168419,Cohen
BC2018-003132,BC2018-003132,330168420,Cohen
BC2018-004518,BC2018-004518,330168514,Cohen
BC2018-004678,BC2018-004678,330168515,Cohen
BC2019-004613,BC2019-004613,330168739,Cohen
BC2018-003982,BC2018-003982,330168740,Cohen
BC2019-005114,BC2019-005114,330168742,Cohen
BC2019-005223,BC2019-005223,330168833,Cohen
BC2018-004282,BC2018-004282,330168943,Cohen
BC2018-004557,BC2018-004557,330168944,Cohen
BC2019-005092,BC2019-005092,330168947,Cohen
BC2019-004692,BC2019-004692,330168952,Cohen
BC2019-004752,BC2019-004752,330168953,Cohen
BC2018-004188,BC2018-004188,330168954,Cohen
BC2019-005327,BC2019-005327,330169149,Cohen
BC2019-004627,BC2019-004627,330169150,Cohen
BC2019-005695,BC2019-005695,330169223,Cohen
BC2018-003564,BC2018-003564,330169224,Cohen
BC2018-004330,BC2018-004330,330169227,Cohen
BC2019-005950,BC2019-005950,330171000,Cohen
BC2019-004806,BC2019-004806,330171003,Cohen
BC2019-006061,BC2019-006061,330171006,Cohen
BC2019-005698,BC2019-005698,330171009,Cohen
BC2019-006565,BC2019-006565,330171173,Cohen
BC2019-004892,BC2019-004892,330171176,Cohen
BC2019-006541,BC2019-006541,330171545,Cohen
BC2019-005707,BC2019-005707,330171546,Cohen
BC2018-003787,BC2018-003787,330171750,Cohen
BC2019-006262,BC2019-006262,330171756,Cohen
BC2019-006898,BC2019-006898,330171758,Cohen
BC2019-006620,BC2019-006620,330171759,Cohen
BC2019-005729,BC2019-005729,330171922,Cohen
BC2019-006042,BC2019-006042,330171927,Cohen
BC2019-006441,BC2019-006441,330172049,Cohen
BC2019-006547,BC2019-006547,330172050,Cohen
BC2019-005668,BC2019-005668,330172052,Cohen
BC2019-005678,BC2019-005678,330172053,Cohen
BC2019-006985,BC2019-006985,330172170,Cohen
BC2019-006796,BC2019-006796,330172177,Cohen
BC2019-005166,BC2019-005166,330172411,Cohen
BC2019-007326,BC2019-007326,330172418,Cohen
BC2019-007025,BC2019-007025,330172648,Cohen
BC2019-007956,BC2019-007956,330172649,Cohen
BC2019-006825,BC2019-006825,330172650,Cohen
BC2019-007197,BC2019-007197,330172746,Cohen
BC2019-007316,BC2019-007316,330172748,Cohen
BC2019-007331,BC2019-007331,330172986,Cohen
BC2019-006432,BC2019-006432,330172988,Cohen
BC2019-007398,BC2019-007398,330173099,Cohen
BC2019-008173,BC2019-008173,330173103,Cohen
BC2019-006572,BC2019-006572,330173106,Cohen
BC2019-006568,BC2019-006568,330173351,Cohen
BC2019-008496,BC2019-008496,330173352,Cohen
BC2019-007399,BC2019-007399,330173354,Cohen
BC2019-006000,BC2019-006000,330173501,Cohen
BC2019-007319,BC2019-007319,330173509,Cohen
BC2019-005752,BC2019-005752,330173649,Cohen
BC2019-008213,BC2019-008213,330173711,Cohen
BC2019-008404,BC2019-008404,330174115,Cohen
BC2019-008377,BC2019-008377,330174263,Cohen
BC2019-009023,BC2019-009023,330174264,Cohen
BC2019-009081,BC2019-009081,330174266,Cohen
BC2019-009067,BC2019-009067,330174429,Cohen
BC2019-007002,BC2019-007002,330174438,Cohen
BC2019-007003,BC2019-007003,330174439,Cohen
BC2019-008257,BC2019-008257,330174440,Cohen
BC2019-007792,BC2019-007792,330174830,Cohen
BC2019-008859,BC2019-008859,330174831,Cohen
BC2019-005753,BC2019-005753,330174832,Cohen
BC2019-006993,BC2019-006993,330174833,Cohen
BC2019-008704,BC2019-008704,330174834,Cohen
BC2019-009672,BC2019-009672,330174839,Cohen
BC2019-009670,BC2019-009670,330174843,Cohen
BC2019-009789,BC2019-009789,330174845,Cohen
BC2019-009359,BC2019-009359,330174869,Cohen
BC2019-009585,BC2019-009585,330175201,Cohen
BC2019-009168,BC2019-009168,330175202,Cohen
BC2019-009274,BC2019-009274,330175281,Cohen
BC2019-0010166,BC2019-0010166,330175714,Cohen
BC2019-008597,BC2019-008597,330176084,Cohen
BC2019-0010043,BC2019-0010043,330176086,Cohen
BC2019-009183,BC2019-009183,330176090,Cohen
BC2020-0010738,BC2020-0010738,330176091,Cohen
BC2019-0010560,BC2019-0010560,330176233,Cohen
BC2019-009563,BC2019-009563,330176236,Cohen
BC2019-008599,BC2019-008599,330176723,Cohen
BC2019-0010248,BC2019-0010248,330176724,Cohen
BC2016-00441,BC2016-00441,330159251,Cohen
BC2016-00372,BC2016-00372,330159393,Cohen
BC2016-00548,BC2016-00548,330159510,Cohen
BC2016-00506,BC2016-00506,330159528,Cohen
BC2016-00510,BC2016-00510,330159541,Cohen
BC2016-00355,BC2016-00355,330159542,Cohen
BC2016-00515,BC2016-00515,330159703,Cohen
BC2016-00530,BC2016-00530,330159706,Cohen
BC2017-00521,BC2017-00521,330159764,Cohen
BC2017-00508,BC2017-00508,330159766,Cohen
BC2017-00606,BC2017-00606,330159801,Cohen
BC2017-00592,BC2017-00592,330159802,Cohen
BC2017-00623,BC2017-00623,330159806,Cohen
BC2017-00720,BC2017-00720,330159996,Cohen
BC2017-00426,BC2017-00426,330160118,Cohen
BC2017-00627,BC2017-00627,330160177,Cohen
BC2017-00484,BC2017-00484,330160296,Cohen
BC2017-00704,BC2017-00704,330160297,Cohen
BC2017-00713,BC2017-00713,330160298,Cohen
BC2017-00756,BC2017-00756,330160299,Cohen
BC2017-00757,BC2017-00757,330160316,Cohen
BC2017-00595,BC2017-00595,330160358,Cohen
BC2017-00714,BC2017-00714,330160359,Cohen
BC2017-00758,BC2017-00758,330160360,Cohen
BC2017-00961,BC2017-00961,330160361,Cohen
BC2017-00754,BC2017-00754,330160425,Cohen
BC2017- 00811,BC2017-00811,330160539,Cohen
BC2017- 00707,BC2017-00707,330160540,Cohen
BC2017-00899,BC2017-00899,330160657,Cohen
BC2017-00971,BC2017-00971,330160658,Cohen
BC2017- 00837,BC2017-00837,330160706,Cohen
BC2017- 00328,BC2017-00328,330160707,Cohen
BC2017- 00988,BC2017-00988,330160826,Cohen
BC2017- 00949,BC2017-00949,330160827,Cohen
BC2017- 001038,BC2017-001038,330160828,Cohen
BC2017- 001045,BC2017-001045,330160829,Cohen
